signum,revisionID,translitterering,normalisering,translation,Latitude,Longitude,Stil,Inscriber,Material,Period_begin,Period_end,edition
Brostenen,54953925,kinluk × hulmkis × tutiʀ × systiʀ × sukruþaʀ × auk × þaiʀa × kaus × aun × lit × keara × bru × þesi × auk × raisa × stain × þina × eftiʀ × asur × bunta · sin × sun × hakunaʀ × iarls × saʀ × uaʀ × uikika × uaurþr × miþ × kaeti × kuþ × ialbi × ans × nu × aut × uk × salu,"Ginnlaug, Holmgæiʀs dottiʀ, systiʀ Sygrøðaʀ ok þæiʀa Gauts/Gauss, hon let gæra bro þessa ok ræisa stæin þenna æftiʀ Assur, bonda sinn, sun Hakonaʀ iarls. Saʀ vaʀ vikinga vorðr með Gæiti(). Guð hialpi hans nu and ok salu.","Ginnlög, Holmgers dotter, syster till Sygröd och till Göt, hon lät göra denna bro och resa denna sten efter Assur, sin man, son till Håkon jarl. Han var landvärnare mot vikingar med Geter. Gud hjälpe nu hans ande och själ.",59.50824,17.62721,"pr1,pr2",Gunnar ,runsten,793,1066,0
Bökstastenen,51724326,· inki-... [a]uk : iuker [:] þau : litu : raisa · stain : þina : a[t] · ais[t ·] sun · sin : ernfastr · auk · þaiʀ · (b)ryþr · raist[u] · at · bru... ...,"Ingi... ok Iogærðr þau letu ræisa stæin þenna at Æist, sun sinn, Ærnfastr ok þæiʀ brøðr ræistu at bro[ður sinn].","Inge-... och Jogard de läto resa denna sten efter Est, sin son. Ärnfast och bröderna reste (den) efter sin broder.",59.76891,17.41231,pr2,,runsten,1000,1066,0
Folsbergastenen,52768827,+ akyti lit + rita + st-n + þino + yfti + tumo ... ...istr + lati kumo + ot + tumo + i lus yk baratisi + yk i þon em + besta + kristnum +,Aguti let retta st[æi]n þenna æftiR Tuma/Tumma ... [K]ristr lati koma and Tuma/Tumma i lius ok paradisi ok i þann hæim bæzta kristnum.,Agute lät resa denna sten efter Tumme [sin fader]. Krist låte Tummes själ komma i ljus och paradis och i den bästa värld för kristna.,59.56056,17.17538,pr4,"Livsten , Ödbjörn ",,793,1066,0
Gliastenen,55417455,× k[a]mal ak × þialfi × þiʀ × litu × risa × s(t)ain × þi(n)sa × ... faþur × sin × man| |nu(t)an × ialbin kuþ × sial an,"Gamall ok Þialfi þæiʀ letu ræisa stæin þennsa ... faður sinn, mann nytan. Hialpin Guð sial hans.","Gammal och Tjälve de läto resa denna sten (efter) sin fader, en dugande man. Gud hjälpe hans själ.",59.34638,17.95199,pr2,,Runsten,793,1066,0
"Granbyhällen, Husby",55339835,ikilauh × lit + hakua · eli þsa · eftʀ + sun sin × sihfastr · auk · -ihilt · broþiʀ hans · þ-u muþrkun bua i hu-um,"Ingilaug let haggva hælli þessa æftiʀ sun sinn Sigfastr, ok -ihilt, broðiʀ hans. Þ[a]u møðrgin/møðrgyn bua i Hu[s]um().","Ingelög lät hugga denna häll efter sin son Sigfast och ... hans broder [lät också hugga ]. De, moder och son, bor i Husa []",59.40457,17.92723,,,runhäll,1000,1099,0
Hammarbykistan,53980512,× kr(e)stin × let × giara × merki × eftiʀ × sun sen × huir sum runum riþr × hafi byniʀ × firiʀ × alah sial × suni ÷ uaʀ faþiʀ ala ×,Kristin let giæra mærki æftiʀ sun senn. Hværr sum runum raðr hafi bøniʀ fyriʀ Ala/Alla sial. Suni vaʀ faðiʀ Ala/Alla.,Kristin lät göra minnesmärket efter sin son. Var och en som kan tyda runor have böner för Alles själ. Sune var Alles fader.,59.53747,17.92344,,,,793,1099,0
Kummelbystenen,56013769,elka ' lit raisa stain ' eftiʀ ' sua͡rtik ' b... ... ... -t ' eystain ' uk ' at ' emink ' suni ÷ sina ' in ' ikulfastr,"Hælga let ræisa stæin æftiʀ Sværting, b[onda] ... ... [a]t Øystæin/Æistæin ok at Hæming, syni sina. En Igulfastr [risti].","Helga lät resa stenen efter Svärting, sin man, och efter Östen och efter Häming, sina söner. Och Igulfast (ristade).",59.41578,17.96149,pr5,Igulfast ,runsten,793,1066,0
Kvarntorpshällen,49816166,isa · lit · stain hkua · iftʀ · stiub- sina · auk hlka li... ...a · ifʀ · suni · sina tan ·  suain,''isa let stæin haggva æftiʀ stiup[a] sina ok Hælga le[t haggv]a æftiʀ syni sina Dan [ok] Svæin.,Isa lät hugga sten efter sina styvsöner och Helga lä(t) (hugg)a efter sina söner Dan och Sven.,59.43330,18.06577,,,runhäll,793,1066,0
Ladbrostenen,49826791,§A ikriþ ' l[i]t · laþbo · kiara ' auk · stain · haku[a eftir] ikim[a]r (b)(o)[ta s]in · auk · eftar · tan · auk · eftir · baka · suni · sina §B ' þaiʀ byku ' i rynby ' auk ' bo atu ' [kr]istr · ialbi ' s(a)(l)(u) · þai[r- ·] (þ)it skal ' at minum · mana ' miþan · min li[fa],"§A Ingrið let laðbro gæra ok stæin haggva æftiʀ Ingimar, bonda sinn, ok æftiʀ Dan ok æftiʀ Banka/Bagga, syni sina. §B Þæiʀ byggu i ʀunby ok bo attu. Kristr hialpi salu þæiʀ[a]. Þæt skal at minnum manna, meðan mænn lifa.","Ingrid lät göra ladbron och hugga stenen efter Ingemar, sin man, och efter Dan och efter Banke, sina söner. De bodde i Runby och ägde där gård. Krist hjälpe deras själ. Detta skall vara till minne av männen, så länge människor leva.",59.52489,17.90033,pr4,,runblock,793,1066,0
Norahällen,50923194,biurn ' finuiþaʀ sun lit ' haukua ' hili þisa ' aftiʀ ulaif bruþur sin ' hon uarþ suikuin o f(i)(n)aiþi ' kuþ hialbi on hons ' iʀ þisi biʀ ' þaiʀa uþal uk at(r)fi ' finuþaʀ suno| |o ilhiastaþum,"Biorn, Finnviðaʀ sunn, let hoggva hælli þessa æftiʀ Olæif, broður sinn. Hann varð svikvinn a Finnæiði. Guð hialpi and hans. Eʀ þessi byʀ þæiʀa oðal ok ættærfi, Finnviðaʀ suna a Ælgiastaðum.","Björn, Finnvids son, lät hugga denna häll efter Olev, sin bror. Han blev sviken på Finnveden. Gud hjälpe hans själ. Denna gård är deras odal och ättearv, Finnvidssönernas på Älgesta.",59,24,,,,0,1500,0
Sälnastenen,47471607,× iystin × auk × iuruntr × auk × biurn × þiR [× byryþr × risþu] ... ...stin × trums × f[aþur] × sin × kuþ × ihlbi × ons × ont × auk × selu + fur+kifi × onum × sakaR × auk × sutiR × × hi × mun × ligia × meþ + altr + lifiR × bru × hrþ×slagin × briþ × e[ft × k]uþ-- suenaR k[arþu ×] at × sin × faþur × mo × igi × brutaR×kuml × betra × uerþa +,"Øystæinn/Iostæinn ok Iorundr ok Biorn þæiR brøðr ræisþu ... ...stæin Drums(), faður sinn. Guð hialpi hans and ok selu, forgefi hanum sakaR ok syndiR. Æi mun liggia, með aldr lifiR, bro harðslagin, bræið æft goð[an]. SvæinaR gærðu at sinn faður. Ma æigi brautaRkuml bætra verða.","Östen och Jorund och Björn, de bröderna reste (denna) sten Drums(), sin fader. Gud hjälpe hans ande och själ, tillgive honom brott och synder. Alltid skall ligga, medan människor finnas, bron hårt slagen, bred efter den gode. Svenner gjorde den efter sin fader. Ej kan en bättre vägvård bliva.",59.58110,17.94071,RAK,Gunnar ,runsten,793,1066,0
Upplands runinskrifter 1,54396446,[as]kil : lit : rita : stin : þa[na · -f-]- : u[n]-- : faþur : [si]n [-u-]a : kuþ[an],"Æskell let retta stæin þenna [æ]f[tiʀ] ..., faður sinn, [b]o[nd]a goðan().","Eskil lät resa denna sten efter ..., sin fader, en god bonde ().",59.36012,17.53182,pr2,,,793,1066,0
Upplands runinskrifter 2,50447026,[yfaigr · auk ...þ(b)orn þair litu · rai(s)a · staina · þisa at · ernbiorn · faþur · sen · kuþ · hielbi sil hans ·],"Ofæigʀ ok ...biorn þæiʀ letu ræisa stæina þessa at Ærnbiorn, faður senn. Guð hiælpi sial hans.","Ofeg och ...-björn de läto resa dessa stenar efter Ärnbjörn, sin fader. Gud hjälpe hans själ!",59.36004,17.53166,,"Balle,Balle ",,793,1066,0
Upplands runinskrifter 4,54236651,tutiʀ ' baþ karua kubl ÷÷ þita ' aft ' iuta ÷,Dottiʀ bað gærva kumbl þetta aft Iuta.,Dotter lät göra denna vård till minne av Jute.,59.33266,17.54623,,,,793,999,0
Upplands runinskrifter 6,54392461,× þorst... ... ...stain × rais... ... -str-- ...-... ...uk × eftiʀ × ¶ ...tunba... × ... × a... ...ʀ... ...ain × ...,Þorst[æinn ok] ...stæinn ræis[tu] ... [Æ]str[ið]() ... ok æftiʀ ... ... ... ... [Øyst]æinn() ...,Torsten[och]...-sten(el. Sten) reste... [efter]Estrid() ... och efter ... Östen() ...,59.32995,17.55583,,"Östen,Östen",,0,1500,0
Upplands runinskrifter 9,54633140,§A ... (f)aþu͡r ... ¶ ...------... §B ...uasa... ¶ ...--... §E ...-as-.../...-sa-... §F ...----... §G ° §H ...--...,§A ... faður ... ... §B ... ... §E ... §F ... §G ° §H ...,fader,59.33545,17.54646,,,,793,1066,0
Upplands runinskrifter 10,54354687,aft ybi sonti st(a)(i)n saʀ ak lki kaʀþi f...,Aft Øpi standi stæinn saʀ ok Lokki() gærði ...,"Efter Öpir må denna sten stå, och Lokki() gjorde ...",59.39403,17.49278,,,,793,1066,0
Upplands runinskrifter 11,55441902,raþ| |þu : runaʀ : ret : lit : rista : toliʀ : bry[t]i : i roþ : kunuki : toliʀ : a(u)k : gyla : litu : ris… …- : þaun : hion : eftiʀ …k : merki srni… haku(n) · (b)aþ : rista,"Rað þu runaʀ. Rett let rista Toliʀ bryti i roði kunungi. Toliʀ ok Gylla letu ris[ta] …, þaun hion æftiʀ [si]k() mærki … Hakon bað rista.","Tyd du runorna! Rätt lät Tolir, bryte i Roden, rista dem åt konungen. Tolir och Gyla lät rista (dessa runor) båda makarna efter sig till minnesvård ... Håkon bjöd rista.",59,21,,,,0,1500,0
Upplands runinskrifter 12,53998844,[--uikriþ × lit × rista unaʀ · at × ...ti(ʀ) instfau r],''--uikriþ let rista runaʀ at ... instfau ...,... lät rista runor efter ... »,59.40159,17.56834,,,,793,1066,0
